Produit_PK,Produit_ID,EntiteRattachement_FID,BrancheAssurance_FID,Produit_CODE,LibelleCourt_NOM,LibelleLong_NOM,FamilleProduit_NOM,StatutProduit_NOM,TypeOffre_NOM,TNS_FLAG,LoiEvin_FLAG,Produit_DATECRE,Produit_DATEMOD,Produit_DEBUTVAL,Produit_FINVAL
2,aRKfV0000ROY1,-1,-1,SI_GEMY_01,GEMY EVIN,GEMY EVIN,individuel,NULL,STANDARD,NON,Non,2023-02-01,2023-02-25,2023-01-31,9999-12-31
12,aRKfV0000RNVL,-1,-1,PC_MORETTO,MORETTO,Contrat particulier,collectif,NULL,SUR-MESURE,NON,Non,2023-02-01,2023-02-25,2023-01-31,9999-12-31
13,aRKfV0000ROtJ,-1,-1,SC_OPCOMOBI,OPCO MOBILITES COLL,Contrat particulier,collectif,NULL,SUR-MESURE,NON,Non,2023-02-01,2023-02-25,2023-01-31,9999-12-31
16,aRKfV0000RNrv,-1,-1,SI_GRURE_01,GRUAU RETRAITES,GRUAU RETRAITES,individuel,NULL,STANDARD,NON,Non,2023-02-01,2023-02-25,2023-01-31,9999-12-31
17,aRKfV0000RIrH,-1,-1,SI_BOOS_01,BOOS EVIN,BOOS EVIN,individuel,NULL,STANDARD,NON,Non,2023-02-01,2023-02-25,2023-01-31,9999-12-31
21,aRKfV0000RN8p,-1,-1,PC_EDENAU_5,EDEN AUTO 5 ex RRG,Contrat particulier,collectif,NULL,SUR-MESURE,NON,Non,2023-02-01,2023-02-25,2023-01-31,9999-12-31
25,aRKfV0000RK64,-1,-1,PC_VEOPRO,"V.E.O. PRO ",Contrat particulier,collectif,NULL,SUR-MESURE,NON,Non,2023-02-01,2023-02-25,2023-01-31,9999-12-31
32,aRKfV0000RK5u,-1,-1,PC_RICHARD,RICHARD,Contrat particulier,collectif,NULL,SUR-MESURE,NON,Non,2023-02-01,2023-02-25,2023-01-31,9999-12-31
36,aRKfV0000RJP3,-1,-1,PC_GCA,"GCA                           ",Contrat particulier,collectif,NULL,SUR-MESURE,NON,Non,2023-02-01,2023-02-25,2023-01-31,9999-12-31
37,aRKfV0000RLA1,-1,-1,SI_KERPR_01,KER PRO EVIN,KER PRO EVIN,individuel,NULL,STANDARD,NON,Non,2023-02-01,2023-02-25,2023-01-31,9999-12-31
38,aRKfV0000RPaN,-1,-1,CT_LANDAUTO,LANDIVISIAU AUTOMOBILES,Contrat particulier,collectif,NULL,SUR-MESURE,NON,Non,2023-02-01,2023-02-01,2023-01-31,2023-02-23
44,aRKfV0000RPgp,-1,-1,PC_KERPRO_3,KERPRO 3,Contrat particulier,collectif,NULL,SUR-MESURE,NON,Non,2023-02-25,2023-02-25,2023-02-24,9999-12-31
46,aRKfV0000RPaN,-1,-1,PC_LANDAUTO,LANDIVISIAU AUTOMOBILES,Contrat particulier,collectif,NULL,SUR-MESURE,NON,Non,2023-02-25,2023-02-25,2023-02-24,9999-12-31
50,aRKfV0000RKE7,-1,-1,SC_CLFOURNI,CLAUDE FOURNIS COLL,Contrat particulier,collectif,NULL,SUR-MESURE,NON,Non,2023-02-01,2023-02-25,2023-01-31,9999-12-31
52,aRKfV0000RNfa,-1,-1,SI_GRU2_01,GRUAU 2 EVIN,GRUAU 2 EVIN,individuel,NULL,STANDARD,NON,Non,2023-02-01,2023-02-25,2023-01-31,9999-12-31
