Produit_PK,Produit_ID,EntiteRattachement_FID,BrancheAssurance_FID,Produit_CODE,LibelleCourt_NOM,LibelleLong_NOM,FamilleProduit_NOM,StatutProduit_NOM,TypeOffre_NOM,TNS_FLAG,LoiEvin_FLAG,Produit_DATECRE,Produit_DATEMOD,Produit_DEBUTVAL,Produit_FINVAL
1,aRKfV0000RN8n,qjmjF0000RH07,d,PC_EDENAU_3,EDEN AUTO 3,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
4,aRKfV0000ROs1,qjmjF0000RH07,e,SC_AMOLLINE,AMOLLINE COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
5,aRKfV0000RJ8R,qjmjF0000RH07,d,PC_KERTRUCK,KERTRUCKS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
6,aRKfV0000RJBc,qjmjF0000RH07,e,SC_EMOTORS,E-MOTORS COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
7,aRKfV0000RJ8Q,qjmjF0000RH07,d,PC_GUEUDE_1,GUEUDET 1 GROUPE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
9,aRKfV0000RKLN,qjmjF0000RH07,e,SC_GNFA,GNFA COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
10,aRKfV0000RLN7,qjmjF0000RH07,e,SC_BIGOTORE,BIGOT OREDA COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
19,aRKfV0000RJOs,qjmjF0000RH07,d,PC_LAIN,LAIN,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
20,aRKfV0000RIyt,qjmjF0000RH07,e,SI_ROGPN_01,ROGEON PNEUS EVIN,ROGEON PNEUS EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
33,aRKfV0000RNvL,qjmjF0000RH07,e,SI_SXLLD_01,SIXT LLD EVIN,SIXT LLD EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
39,aRKfV0000RJMP,qjmjF0000RH07,e,SI_BERTR_01,BERTRAND EVIN,BERTRAND EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
40,aRKfV0000RPNx,qjmjF0000RH07,e,SC_BOUZINAC,BOUZINAC INDUSTRIE COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
41,aRKfV0000RL9j,qjmjF0000RH07,d,PC_RGS,RGS - SO GEROUEST,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
47,aRKfV0000RIym,qjmjF0000RH07,e,SI_LAFON_01,LAFONTAINE EVIN,LAFONTAINE EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
